Scenario,Model,Zone,RMSE,MAE,R2
SSP585,SVR,Bhutan,4.312470110240889,3.2810331827375503,-0.07153396852706018
SSP585,SVR,Myanmar,5.8362377980361755,4.7774472597626,-0.20032378984045374
SSP585,SVR,Nepal,3.7237448300746814,2.684893472649161,-0.1507284855058293
SSP585,SVR,Pakistan,1.0816865039818664,0.7251940509423269,-0.13017453084593966
SSP585,SVR,Sri Lanka,4.130027489422003,3.0667807289361035,-0.006931371435038525
SSP585,SVR,Zone 1,1.4770622138031204,1.2062288095839082,-0.005877212301074186
SSP585,SVR,Zone 10,2.7595309622904196,2.459187666837342,-0.12610955340699626
SSP585,SVR,Zone 11,2.7512536088225397,2.516557774386668,-0.053890871567552345
SSP585,SVR,Zone 12,10.988669798164414,7.527893288480803,-0.23091671860191743
SSP585,SVR,Zone 13,4.813241860737902,2.6346717616512687,-0.3703108478906789
SSP585,SVR,Zone 14,2.722549538008238,1.4398211027687342,-0.2719622123704546
SSP585,SVR,Zone 15,8.324527748974939,7.189465510590502,-0.039555080745765636
SSP585,SVR,Zone 2,5.202295950870839,4.298122252562841,-0.0899760139545196
SSP585,SVR,Zone 3,5.220364379242401,4.217464246678404,-0.11648070008391986
SSP585,SVR,Zone 4,4.209591031603129,2.7313062089587796,-0.23952399179553474
SSP585,SVR,Zone 5,4.6871375994074445,2.835785421197619,-0.2887782539120898
SSP585,SVR,Zone 6,3.0036984784342646,1.8022579911767753,-0.19472967204195069
SSP585,SVR,Zone 7,5.180019922157243,3.2412553160301987,-0.29166738694194394
SSP585,SVR,Zone 8,5.750787573057202,3.2104225800524584,-0.3772844816882348
SSP585,SVR,Zone 9,4.98263038775633,3.125961186517143,-0.4731729916915888
SSP585,XGBoost,Afghanistan,0.5756332425925828,0.3429622666721491,0.3322391053151569
SSP585,XGBoost,Bangladesh,2.9160561942458667,1.9875019444160544,0.8329750110409616
SSP585,XGBoost,Bhutan,1.4286959994588415,0.9654125453550848,0.8823929370190172
SSP585,XGBoost,Myanmar,1.4105348331516903,1.0118996532623232,0.929886751911638
SSP585,XGBoost,Nepal,1.498706468207501,1.0394885688370057,0.8135998743800152
SSP585,XGBoost,Pakistan,0.6018779694514446,0.4422631967902115,0.6500873945800512
SSP585,XGBoost,Sri Lanka,3.614134715380915,3.0562053576134027,0.22891427987863688
SSP585,XGBoost,Zone 1,0.7979094550131064,0.665740773980015,0.7064685662135177
SSP585,XGBoost,Zone 10,1.7381207971479053,1.2155181662641512,0.5532443923571648
SSP585,XGBoost,Zone 11,1.4604404368646564,1.0853605939482307,0.7030371716696682
SSP585,XGBoost,Zone 12,4.656994351918409,3.1675467260706522,0.7789198013339984
SSP585,XGBoost,Zone 13,3.8863641136145795,1.9356295481124877,0.10663136674039986
SSP585,XGBoost,Zone 14,1.5724492426326657,0.9073523204178068,0.5756971983417813
SSP585,XGBoost,Zone 15,4.625065422268825,3.4313989829682705,0.6791041835032995
SSP585,XGBoost,Zone 2,2.5147984503915626,1.6567955784267954,0.7452975049975199
SSP585,XGBoost,Zone 3,1.8585626420437082,1.2388662658363103,0.8584845060460468
SSP585,XGBoost,Zone 4,1.6969890211285876,0.9672100450872874,0.7985658077032551
SSP585,XGBoost,Zone 5,2.1345821107741028,1.5998715302727586,0.7327064223901274
SSP585,XGBoost,Zone 6,1.732114226255103,1.1323721057921514,0.6027078005135612
SSP585,XGBoost,Zone 7,1.6286760008562913,0.9560380693581515,0.8723098996986896
SSP585,XGBoost,Zone 8,2.68277208931693,1.4431147648210116,0.700265618759435
SSP585,XGBoost,Zone 9,2.5996840747814143,1.5499924415191721,0.5989693639997165
SSP585,MLP,Afghanistan,5.695997630075764,5.651451458457786,-64.38360309746862
SSP585,MLP,Bangladesh,9.148030329444941,6.553989398232325,-0.643784441854425
