Scenario,Model,Zone,RMSE,MAE,R2
SSP245,RandomForest,Zone 14,2.0715926647636893,1.748483652485808,0.8963138034155383
SSP245,RandomForest,Zone 15,0.3900241017579206,0.29563215190082265,0.4692517023533441
SSP245,RandomForest,Zone 2,1.1558486592306594,0.9376752546544136,0.9332337394175679
SSP245,RandomForest,Zone 3,1.1029363876028278,0.7695939471862694,0.9282455982571176
SSP245,RandomForest,Zone 4,1.2967711046110948,1.103208445390908,0.9463353398340552
SSP245,RandomForest,Zone 5,1.616806519205179,1.3748873498931298,0.9360343484002934
SSP245,RandomForest,Zone 6,2.070130207277641,1.5681414835107848,0.9149956742354229
SSP245,RandomForest,Zone 7,1.1789825709720678,0.9747725521019026,0.9307440972617274
SSP245,RandomForest,Zone 8,1.4455193947000649,1.1785032101996487,0.9377845927280121
SSP245,RandomForest,Zone 9,1.0996474963063678,0.9283806550015802,0.9173399405847309
SSP245,GradientBoosting,Afghanistan,1.6981493207759768,1.2756768123493798,0.966237390779251
SSP245,GradientBoosting,Bangladesh,0.9250381034528136,0.7152814506865107,0.9373824774503938
SSP245,GradientBoosting,Bhutan,1.3782985660171785,0.9035685120128295,0.9107805790939848
SSP245,GradientBoosting,Myanmar,0.7145955107468623,0.520780602697613,0.9138414836902222
SSP245,GradientBoosting,Nepal,2.1648550674897886,1.7329614708961518,0.8824950374461978
SSP245,GradientBoosting,Pakistan,1.636423361239989,1.2497195449148915,0.9426629676070715
SSP245,GradientBoosting,Sri Lanka,0.3640375196534222,0.31319894804321624,0.757338567131803
SSP245,GradientBoosting,Zone 1,1.9072951562528189,1.6412241535323329,0.9523118386790194
SSP245,GradientBoosting,Zone 10,0.6114911614139149,0.4926184760086831,0.9334617527791199
SSP245,GradientBoosting,Zone 11,0.5154021058032215,0.4200586764981704,0.9549036353779072
SSP245,GradientBoosting,Zone 12,0.3473141332084559,0.3152962192777782,0.9223394838329037
SSP245,GradientBoosting,Zone 13,0.9341241711416056,0.8014294234061164,0.941513122441652
