,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5
Zone 12,26.667103048087746,27.01516107297414,23.56750939830983,26.812582273457174,25.726458209999794,25.74177864756203,24.174224477281413,25.50107951444741,24.34006733613859,26.292600040809806,25.604961341802067,24.801410829631358,25.361794360163806,27.156079380808336,26.049723477664873,25.97906143538394,24.171499568936753,23.546598288280258,25.15936960124764,25.332873890862253,24.60296502816521
Zone 13,30.138783373863898,30.467030700151728,26.370081552312886,30.39216013257102,29.6218313972069,28.617881371824335,28.375700171242354,29.33164894752256,29.204618875341502,29.890826705234527,29.974470049067268,26.326779555443355,27.18595785390024,29.880293955418566,29.039028321476053,33.62660406130572,27.406478364003696,28.91617329646332,28.86950941563694,29.293736561018253,27.914377271991526
Zone 14,32.13381721313745,31.438914343474508,28.522670654930437,32.532460472636345,32.934641257558276,30.732574790893675,30.445916441521746,31.87410221473846,33.065750092151134,31.733161846485046,32.48536840593225,29.150370800209487,27.964270791916352,31.5798225352967,30.653250104063417,39.66983644167269,30.253175468169108,32.75131586873893,31.502450040984893,34.00593707957995,29.97221283842113
Zone 15,27.90206370634195,28.34041622386261,27.11938981698004,28.171060224609676,27.832829434263967,27.679123044481475,26.47115946222024,26.72688535802507,26.73572737749886,27.589450791302884,26.232909051885944,27.34300923066983,27.37136673272827,27.768020450367686,27.524016406489377,27.116579569107518,26.643704698215217,25.791471667232464,27.356427271225886,27.456351575664456,26.467793318848273
Zone 2,21.354534770673204,22.713258097983545,20.313816346658953,18.138329979374088,23.226341845035854,23.31759637865509,21.44765570070579,21.477307683771333,21.367085208994848,18.183587422090444,18.233006270383484,19.313463625168446,21.05885130541764,22.02644664200022,18.75020505981084,21.471581839228886,19.96484211444837,20.607628277395126,21.26393805020493,21.718517424503553,20.813335129126177
Zone 3,28.940879831750436,29.536190287272166,28.502763096399807,26.165223491699066,30.441991065530246,29.72818259943547,27.230450719048193,29.42675703460098,27.890335696351322,27.42902806599938,27.57858360955851,25.544703469868598,27.198593532452193,29.40439477060359,26.001801662403512,28.191866006456266,28.185466788516074,26.53689978718777,27.84146538030091,28.498070458804886,27.2611105062909
Zone 4,29.933841361251556,29.479707024411358,27.38138888758167,24.68231077072393,31.111079404245046,29.93111333802526,27.43473619691504,29.964064833697176,27.91197568749182,32.270878517727915,25.933992154594367,24.720201345919254,26.973325981706967,30.701100701511102,25.09482302269461,28.946591890019118,27.144248995494273,26.57476741780849,27.786309433695784,31.10170471162914,27.11373133325938
Zone 5,31.36128736650913,29.8712737267759,25.722124077872095,25.778648766708393,31.433372837711357,29.2651627691075,27.839464458016497,30.63924282298372,28.47611850129459,33.353521600290534,26.724866204501286,24.676690438748764,26.70546087785693,31.47023259010638,25.56460730216974,33.30465284179456,26.267377576698745,26.80574156837653,29.055121466514684,32.549474690541516,26.71087128779907
Zone 6,30.46337085526685,28.720642291118363,26.54300710015497,24.488947573478857,32.3199487646492,29.125682274585557,29.41701465194884,30.203935617049137,30.297232349416177,30.479323614599895,26.36500333948089,24.063575801747383,27.007229801521625,30.773630136092105,26.28305663427851,36.41648395060137,27.26000406969849,30.687537217117264,30.599833607121194,33.411084783126846,27.11712284205307
Zone 7,29.83645946855307,32.022498155268,25.00867276733281,29.542089085110334,28.78738548043732,27.287021592084127,25.603704062630754,28.3499079600102,26.234905092896554,31.735744390407557,25.118136468401957,25.48134467287894,25.4635069027883,29.858200047597194,25.88305791033864,27.97210738575362,24.587576111115915,24.874016602571796,26.21754774490772,27.467604620156195,25.86908365718668
Zone 8,31.639843694150862,32.19793050928056,25.07638952553509,31.687938132473626,30.11089099726129,28.074949473628322,27.313105310651753,30.02243098539467,28.62495004990524,33.03017364501956,27.573732532139495,26.129983854605506,25.947668532463556,30.72346462673614,27.35677529694471,33.46002702181617,25.99250521386636,27.051963753935347,27.62050643937523,30.715405169385214,26.903024171756154
Zone 9,29.920709404041588,31.08358318652985,23.546993838665784,28.7380359753191,26.628292452411216,25.918781986943024,25.52869774211184,26.810614330815362,25.316840416403405,29.85375489777212,25.172406192006516,24.659655931260872,25.061106728309195,28.83818597930711,25.928343005543987,28.418717238714017,24.738217167767882,24.72117317171924,25.69015718530728,26.097828988301753,25.653155781246397
