,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5,AMME,BMME,RMME
Zone 12,27.97014630884908,28.551640090443765,26.47989593533341,29.493599088268972,27.40439864264597,27.591535868260365,26.937099507999378,26.191842606488425,26.906643960990184,26.61141505521889,27.31056359715275,25.417898270351458,25.995397263938845,27.66737451491015,28.220490095350502,29.558348121579385,27.417143389839435,27.167283659285438,26.431507298421785,26.78767239522833,26.83121540523646,27.305594783527823,27.271622293587622,27.316918946841227
Zone 13,26.74696325497432,25.7922676900893,24.48071167022396,25.77761832730563,27.650491695639545,26.71260312952337,25.095531275676727,24.98291157741175,26.084494876238278,25.338641611735056,26.43402318344355,24.934674752096228,22.391412425749476,25.41154064436107,26.978459939007855,32.40338184596969,25.898069102656358,24.943705644512843,26.48293438719597,27.467981003295215,26.827327719389842,26.100420901855312,25.93351500485521,26.156056200855346
Zone 14,24.314310337307692,20.714725984727146,22.91138956155183,22.13021427318754,25.212310753062606,22.461000017264517,22.169302642574884,22.229793389014972,22.722933785432332,23.474248659221203,23.458793271444943,22.153268798296253,19.049532283985013,22.381496042156037,22.91536587484524,29.207956924479078,23.72530661363577,23.08103560058705,23.2218504188887,24.67172650023487,24.44744968823854,23.11032808659488,22.700153707467074,23.247052879637486
Zone 15,27.72302533318018,26.512027695599745,25.735892018431702,27.661750983363973,26.162910640940957,27.003964682186364,26.647644582153827,25.48978154799519,26.967071533203146,26.96472006405103,26.458300072073715,26.580538760914546,26.43575355679383,28.09692311006437,25.95782551484952,27.282774039124867,25.30597291224282,27.489340161683145,25.955918345731867,26.408396582509972,26.99906803179195,26.64202660685474,26.081037847885547,26.82902285984447
Zone 2,14.551570257231113,14.10467254312284,14.44211998104095,12.710117553756046,16.17204755441959,17.378755361156966,16.595136887581887,14.629209679588309,14.825638286570202,16.50652065175105,13.18413046406321,13.542846743605802,14.410723945947728,17.65009235783272,16.74947474837233,16.432305259839772,15.568498989667225,14.338582820208806,14.330108306213862,15.292820288238268,15.492910554762371,15.170768634010434,16.18421513327334,14.83295313425613
Zone 3,25.45889314140372,21.88652019625399,24.89638126562961,24.07322696905507,26.694256596783426,27.417858756237845,26.28552698150564,25.157441576789438,25.662382896273776,27.555707310695304,25.709841732818013,23.12144595376809,24.324379895629022,27.01846852022062,26.269691862052305,26.450809666275227,26.581059607746646,23.207209380174437,24.646648995393264,26.197937015043127,26.096562056099817,25.430784415987425,26.342315756866377,25.126940635694446
Zone 4,24.258225966167743,20.059888780951866,21.941931554540016,19.951784595994226,26.076296075630392,25.701849556147355,24.541709134996296,23.86193659165329,23.642457869072953,29.26056006295343,22.44250918714557,20.975887413986612,22.319426295903224,25.221884898979145,23.907603140082127,26.809773056806012,23.993207200439425,22.378231792703303,23.52685757484759,26.820356601248516,24.931145423558615,23.88461886751245,24.401261124663698,23.712404781795374
Zone 5,23.530575176848103,18.338252305316693,20.19444497155058,18.701966698194884,25.13204578396099,23.2789891664165,22.724098113600938,21.857966600947048,22.39589439840881,24.77610146017638,20.72479185700012,19.558056783809747,19.509405191715853,23.671987154236717,21.12894367606256,27.467912217078265,22.18735429757621,21.572050345955347,23.089396945657757,25.36897284528234,22.53865559737925,22.26046029948979,22.23547037092065,22.268790275679503
Zone 6,20.176797871581183,15.788392244770812,18.46075599691696,13.324885138586723,23.05313578360294,20.19862966237153,20.519787808385296,18.96476608521164,20.019552081919,21.623334082945174,16.93611968539657,16.589609839019523,15.85719640940205,20.22122415416808,18.021092073618483,24.681843008478307,19.50177011423782,20.102541441379643,21.100389558335422,22.871410957830577,19.56825996568921,19.400661699907886,19.441209148764955,19.387145883622196
Zone 7,27.06725962064516,25.420702367616997,21.428963847670413,28.645271838305707,27.336662573435976,26.63616122690127,25.868145674334407,25.810068738921377,24.765442640801464,28.745716493750848,26.016913710850734,24.311242274009235,24.17206079611362,26.838920248763593,27.53815307574448,28.633224378326613,24.227705992345722,22.299419456157302,24.34737901076774,26.513489647588386,26.722696142756178,25.831145180652555,26.016046941649453,25.769511260320254
Zone 8,25.410539343341526,22.819724769342987,20.45104041543389,26.345084152738195,26.735459713572276,24.731636130638403,23.7850979525566,24.13960642795939,23.775535092821336,25.117611861883457,24.24426598232639,23.32921486150208,21.087629741585282,23.62541749642568,25.300241644034482,29.719254074145095,23.288503376236182,22.20492612768964,23.568625544130438,25.97881457492939,25.25929193633452,24.282911464164638,24.24901710628501,24.294209583457842
Zone 9,27.71262994504445,27.497656808491655,23.09147195079972,28.678674216628963,28.273227838753115,26.94248481966574,26.73144853697861,25.923723784802036,26.512336036831748,26.50144208421897,25.91575714495417,24.87930644914218,24.50709132925591,25.59111966401146,28.2234288937438,30.23925813747516,27.015175966927938,25.073232125401624,25.625509525373896,26.112341056607676,27.627710048405184,26.55236581575544,26.967252400423625,26.41407028753271
