polygon,month,slope
Bangladesh,4,-0.03526441396132545
Zone 7,4,0.007572998836138582
Zone 13,4,0.0007824961879507239
Zone 14,4,0.005503395184401901
Zone 6,4,0.006801433667417274
Zone 15,4,0.032242624246324465
Zone 5,4,0.0034133529205882993
Zone 8,4,0.002072710863766812
Zone 9,4,0.0026643030658482273
Zone 10,4,0.025255922936253318
Zone 12,4,0.03573984635205164
Zone 11,4,0.01682234221559635
Zone 4,4,0.0027801392297424057
Zone 3,4,-0.009683238274134136
Zone 2,4,0.0136392870346927
Zone 1,4,0.005503903335175691
Sri Lanka,5,-0.023791914720640198
Afghanistan,5,0.004494320485542384
Myanmar,5,0.07235147623285358
Nepal,5,0.0001425997456629779
Pakistan,5,0.001552954547160813
Bhutan,5,0.0052319763163479974
Bangladesh,5,0.005678469323650847
Zone 7,5,0.007396869786416303
Zone 13,5,-0.0007199264065613059
Zone 14,5,-0.000945442131747354
Zone 6,5,-0.006854891093232401
Zone 15,5,0.22305826381167682
Zone 5,5,0.00015416615330510113
Zone 8,5,-0.0009696427386489946
Zone 9,5,0.0034404778618564217
Zone 10,5,0.028393092646205195
Zone 12,5,0.045731587361893186
Zone 11,5,0.02398430436080964
Zone 4,5,0.012659231554849479
Zone 3,5,-0.0035560056934651695
Zone 2,5,0.03341571083625424
Zone 1,5,-0.004275223898778482
Sri Lanka,6,0.04533400604715455
Afghanistan,6,0.0008323908264563973
Myanmar,6,0.04624382047146467
Nepal,6,0.04861180793339078
Pakistan,6,0.008642128793878193
Bhutan,6,0.05143295759559977
Bangladesh,6,0.049218424335828154
Zone 7,6,0.009582034986299484
Zone 13,6,0.016440467958008645
Zone 14,6,0.008180998281280846
Zone 6,6,0.008733938719800332
Zone 15,6,0.05789251173034937
Zone 5,6,0.04750466908718385
Zone 8,6,0.036896609266596984
Zone 9,6,0.022958774070300152
Zone 10,6,0.01106452316671579
Zone 12,6,0.10251257103269598
Zone 11,6,0.020246065420070163
Zone 4,6,0.04492139660133841
Zone 3,6,-0.005381043677157636
Zone 2,6,0.03827826443372692
Zone 1,6,0.004274093630527418
Sri Lanka,7,0.03375180252926943
Afghanistan,7,-0.0006985757946272616
Myanmar,7,0.063901497251285
Nepal,7,-0.015209686269799528
Pakistan,7,0.004321928561648912
Bhutan,7,-0.06164242169549591
Bangladesh,7,-0.08873364770988382
Zone 7,7,0.030101651848977777
Zone 13,7,0.09684918473990448
Zone 14,7,-0.009049048634013466
Zone 6,7,-0.07864860823026214
Zone 15,7,0.31353628147723506
Zone 5,7,0.009667028451352018
Zone 8,7,0.07493494672076362
Zone 9,7,0.08671740508550499
Zone 10,7,0.04047471662127803
Zone 12,7,0.21346229483981222
Zone 11,7,0.03005199829832445
Zone 4,7,-0.062052272910507564
Zone 3,7,-0.05911418654035263
Zone 2,7,-0.012096533815136378
Zone 1,7,-0.04021129170638182
Sri Lanka,8,0.07646640456411123
Afghanistan,8,-0.0004259532233924549
Myanmar,8,0.04598828333597326
Nepal,8,0.03205511432930669
Pakistan,8,0.011962027578553967
Bhutan,8,0.04588870543340417
Bangladesh,8,0.016128660687803314
Zone 7,8,0.01595164012988227
Zone 13,8,0.07973909080475215
Zone 14,8,0.0244225615846535
Zone 6,8,-0.032379036318666496
Zone 15,8,-0.0497359868276309
Zone 5,8,-0.002643714345335356
Zone 8,8,0.01573786197301592
Zone 9,8,0.027077073059126426
Zone 10,8,0.04966675822355243
Zone 12,8,0.13725998263363226
Zone 11,8,0.03662465631173535
Zone 4,8,0.053452487875962046
Zone 3,8,0.013051693960895576
Zone 2,8,0.03212188662987674
Zone 1,8,-0.01805857012277045
Sri Lanka,9,0.019647828973682013
Afghanistan,9,0.0003307248216063396
Myanmar,9,0.05086647167768748
Nepal,9,-0.05062430521668812
Pakistan,9,0.017019442682468255
Bhutan,9,-0.06142656043522562
Bangladesh,9,-0.008839578395214862
Zone 7,9,0.07043124840761521
Zone 13,9,0.11060395842034192
Zone 14,9,0.04577225188785322
Zone 6,9,0.05627768397402456
Zone 15,9,0.22703209487797596
Zone 5,9,0.002183046993353048
Zone 8,9,0.04879089265138678
Zone 9,9,0.05877055257378813
Zone 10,9,0.011155225007926237
Zone 12,9,0.07190438066137218
Zone 11,9,0.03458979644827418
Zone 4,9,-0.04468762688534856
Zone 3,9,0.0007631566946315065
Zone 2,9,-0.023705080047992107
Zone 1,9,0.017194001368865716
Sri Lanka,10,0.12306206714390935
Afghanistan,10,0.00039076040732823037
