polygon,month,slope
Afghanistan,5,0.0371894612878683
Myanmar,5,0.012927158512571707
Nepal,5,0.03228988976068488
Pakistan,5,0.028203173047392387
Bhutan,5,0.012565827339821554
Bangladesh,5,0.00248471136596136
Zone 7,5,0.008646384544550887
Zone 13,5,0.02103216306794574
Zone 14,5,0.024732619022427644
Zone 6,5,0.02793715643542867
Zone 15,5,0.013686767081191202
Zone 5,5,0.026515393554005562
Zone 8,5,0.02207492929327607
Zone 9,5,0.022619930543420517
Zone 10,5,0.016652922793140134
Zone 12,5,0.022390086421332295
Zone 11,5,0.0064156535908622666
Zone 4,5,0.011297066668726076
Zone 3,5,0.00419266606153772
Zone 2,5,0.008164386452160595
Zone 1,5,0.039576572497539736
Sri Lanka,6,0.01976711012133368
Afghanistan,6,0.05247717591056588
Myanmar,6,0.01749882195181894
Nepal,6,0.020918313364041815
Pakistan,6,0.028922943019472812
Bhutan,6,0.020608200711745687
Bangladesh,6,0.010902971024983313
Zone 7,6,0.007624604433521251
Zone 13,6,0.015317503998993745
Zone 14,6,0.01715834724255009
Zone 6,6,0.01651580763943115
Zone 15,6,0.017185843811432244
Zone 5,6,0.00947388249171319
Zone 8,6,0.011055390848745392
Zone 9,6,0.011609661506151971
Zone 10,6,0.017226339745902694
Zone 12,6,0.01921246106709151
Zone 11,6,0.015785430244704485
Zone 4,6,0.010423194988152439
Zone 3,6,0.014492380380447978
Zone 2,6,0.014042468244476813
Zone 1,6,0.037961749183022864
Sri Lanka,7,0.023743296074793963
Afghanistan,7,0.03167907860946504
Myanmar,7,0.021677875262930114
Nepal,7,0.01804260940091402
Pakistan,7,0.00014331193547380193
Bhutan,7,0.02400005309178337
Bangladesh,7,0.014622687017985546
Zone 7,7,0.014502915781898962
Zone 13,7,0.018053756559224546
Zone 14,7,0.002698354420565558
Zone 6,7,-0.00980051230501033
Zone 15,7,0.021380542049823332
Zone 5,7,-0.0031631977061893253
Zone 8,7,0.012770903851290627
Zone 9,7,0.016859182958060263
Zone 10,7,0.01370157770273673
Zone 12,7,0.02311064994890976
Zone 11,7,0.012238702160673033
Zone 4,7,0.002368892316039433
Zone 3,7,0.014707033125717481
Zone 2,7,0.01975935621216022
Zone 1,7,0.03521145538196124
Sri Lanka,8,0.0212844953924278
Afghanistan,8,0.05304674973553136
Myanmar,8,0.018718237806352758
Nepal,8,0.020814685709575457
Pakistan,8,0.01619123258559345
Bhutan,8,0.02425550914905696
Bangladesh,8,0.012591475075496255
Zone 7,8,0.00861807940431085
Zone 13,8,0.007870367309437498
Zone 14,8,-0.004016404447143654
Zone 6,8,-0.017178394166175077
Zone 15,8,0.01962085691914867
Zone 5,8,-0.001050677234083241
Zone 8,8,-0.001455464416892758
Zone 9,8,0.004450122437568027
