,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,CHIRPS
Zone 14,0.21206585085447607,0.246265378879354,4.790631370147267,0.9516247333941287,1.6495541518694712,4.304160721010731,2.562934285136149,0.9983905502962211,0.8882033840128141,0.4775308421038376,0.9965607350718687,3.535580874182154,4.088238632225475,0.3939612989012961,2.8587848740508672,0.6858585860556791,1.473774989625765,0.7842410570621825,4.010161117516351,1.387961687651411,3.2161869330817487
Zone 15,11.000935460561164,12.533229612057577,13.234376869147875,13.85587190366185,13.07196022990222,12.983643724715966,13.27367632765099,12.201668099695711,9.550017420616033,12.122152668030774,7.083568469075063,3.807823022944959,5.445579739341647,12.677848594710747,12.833539596584435,13.502796777882695,13.757458044536063,8.966778139743667,12.945171829192843,13.157962214280479,14.621026039374433
Zone 2,14.29411157106323,19.586858242004446,9.785449576293631,10.904119447250613,12.266288438729683,8.053253581674936,12.21271911047395,12.930013562639287,10.686822325291217,30.556223554663006,6.566661541692072,9.522936787695961,7.532043146376977,14.941083551948655,9.448613856079028,10.390039751368239,9.990592400759144,12.163202108360613,10.336370608789533,11.883916908354438,11.305531348339537
Zone 3,13.891799746720496,14.604030528422427,7.268921354446331,12.039667516261336,8.717361124793749,6.877275002012396,7.279244853104963,8.735624983111231,7.613500944433355,14.580199650396688,3.198322697243975,15.25849381851624,7.350148074629254,11.731192571140474,12.036819460324747,9.037507610395735,4.222202625107206,10.518112676838964,16.945974082846018,7.909091406723737,10.719427285130118
Zone 4,8.161976853663383,12.929539957154155,6.738671950954607,12.47432596070002,7.753161487156219,5.750308829752801,7.795421808271596,6.082689476115065,7.494411638529736,8.203732778813661,3.5185139223969095,12.92353281619418,5.817480647648039,8.600326548421904,10.41590592454718,6.733098791700247,5.734715376979538,9.692979991647027,15.627649144194319,5.904521355950159,9.481957214019262
Zone 5,4.117136814789118,7.388140941003849,6.916367026732403,6.441203185426312,6.120774203417047,6.14389666725136,7.513016454700348,3.284979086025514,5.108263054332738,1.0102323557031518,3.9838507765171927,10.2146554389009,5.132490645074916,4.53595339605277,6.821915020255543,4.032057853316456,5.449880563508749,7.686690767418619,10.558065178344226,6.017141212761863,8.53630177274283
Zone 6,1.3609247355044807,3.1561401706403673,6.675516789595433,1.6310895899399698,3.507651813805218,5.530621912295549,5.273826964809847,1.58010928266879,2.4566538664664073,0.42117990821748086,5.14055158614051,6.331516943979226,3.63489082504615,1.259826119422991,3.9179722370218673,1.4322597525366005,5.8257838995416185,3.0432888741859845,4.939905232337004,2.957804528137609,5.191875966188885
Zone 7,9.021227677417556,5.072696512554663,9.093662487515836,7.525424788882319,9.676119627779292,10.035827293040498,9.831536880673672,7.222766430276859,8.00266251547021,2.952814710701608,7.665507982564064,19.105396667039194,8.937556460716456,10.799844827451798,7.869645301925593,12.532440755958849,7.653447989065281,11.384215677690463,13.768413254607049,8.920220091791736,11.973658980311153
Zone 8,2.9235524510508446,1.4415863519457521,8.993042264759332,3.8522546789507346,5.350288221703856,8.520878662943115,7.106721566009253,4.3550623233732235,4.759854908446141,0.5584930394308739,3.3959216894410678,15.01435910881106,7.312342051778215,4.3904773102474515,5.652439249138964,5.917185107455297,5.706851705802234,6.647218285677341,11.378507781157875,5.108638214304799,9.49823161703094
Zone 9,2.476913653086452,2.107918350126001,7.439225274252312,6.103935060094529,6.8844576721127755,12.419248869071751,7.413673045336953,10.105676319858496,10.754328476170986,2.813949756846686,2.8549174229027683,11.904092644566996,11.540858990361299,4.644244634899184,6.144445664691547,8.754741549396039,2.702571658013399,5.010887229980255,10.217914819270062,9.756702359254458,7.7357335958243025
